episode,reward,score,steps,epsilon,loss
2213,-9.58,0,41,0.6683,0.011142
2214,-8.83,0,39,0.667,0.009263
2215,-9.7392,0,40,0.6656,0.013975
2216,-9.78,0,37,0.6644,0.009033
2217,-8.9683,0,38,0.6631,0.01333
2218,-9.5358,0,41,0.6618,0.013444
2219,-8.9458,0,39,0.6605,0.008492
2220,-8.8233,0,39,0.6592,0.008546
2221,-9.71,0,47,0.6577,0.009883
2222,-9.6125,0,42,0.6563,0.012498
2223,-9.72,0,41,0.6549,0.010699
2224,-9.7492,0,39,0.6537,0.010496
2225,-9.7342,0,38,0.6524,0.013335
2226,-9.7533,0,39,0.6512,0.013512
2227,-8.945,0,38,0.6499,0.012738
2228,-8.855,0,38,0.6487,0.011387
2229,-9.0433,0,37,0.6475,0.012102
2230,-9.69,0,45,0.646,0.013597
2231,-9.81,0,36,0.6449,0.010988
2232,-9.3342,0,36,0.6437,0.011007
2233,-9.0075,0,36,0.6425,0.011997
2234,-9.6667,0,43,0.6412,0.009162
2235,-9.5058,0,43,0.6398,0.011126
2236,-8.835,0,39,0.6385,0.013756
2237,-9.77,0,37,0.6374,0.011361
2238,-9.76,0,39,0.6361,0.00967
2239,-8.9067,0,37,0.6349,0.012361
2240,-8.88,0,37,0.6338,0.012506
2241,-8.8775,0,40,0.6325,0.011394
2242,-9.1425,0,46,0.6311,0.011633
2243,-9.2383,0,39,0.6298,0.013201
2244,-8.8875,0,38,0.6286,0.010843
2245,-9.76,0,37,0.6275,0.007408
2246,-9.77,0,39,0.6262,0.015516
2247,-8.8242,0,39,0.625,0.010029
2248,-9.84,0,36,0.6239,0.009537
2249,-9.7342,0,37,0.6227,0.009659
2250,-9.64,0,46,0.6213,0.010033
2251,-9.8,0,39,0.6201,0.011061
2252,-9.85,0,35,0.619,0.015139
2253,-9.79,0,43,0.6177,0.009627
2254,-9.82,0,36,0.6166,0.016236
2255,-9.7,0,38,0.6154,0.012536
2256,-8.9475,0,37,0.6143,0.011239
2257,-9.7567,0,37,0.6131,0.011191
2258,-8.9733,0,35,0.6121,0.007979
2259,-8.5867,0,44,0.6107,0.012809
2260,-9.83,0,36,0.6096,0.012092
2261,-8.9308,0,36,0.6085,0.010449
2262,-9.8,0,36,0.6074,0.01145
2263,-8.8633,0,39,0.6063,0.009472
2264,-8.88,0,38,0.6051,0.012423
2265,-9.3858,0,36,0.604,0.00789
2266,-9.6842,0,38,0.6029,0.013008
2267,-9.81,0,36,0.6018,0.013685
2268,-8.9775,0,38,0.6006,0.010463
2269,-9.77,0,37,0.5995,0.012942
2270,-9.78,0,37,0.5984,0.015191
2271,-9.0725,0,39,0.5973,0.010966
2272,-8.7333,0,43,0.596,0.010129
2273,-9.5975,0,39,0.5948,0.010069
2274,-9.79,0,36,0.5937,0.011939
2275,-9.0075,0,35,0.5927,0.011158
2276,-9.7017,0,38,0.5916,0.009158
2277,-8.9825,0,39,0.5904,0.007798
2278,-9.78,0,38,0.5893,0.013468
2279,-8.9425,0,37,0.5882,0.012205
2280,-8.6125,0,41,0.587,0.012374
2281,-8.7325,0,44,0.5857,0.010549
2282,-8.975,0,37,0.5846,0.00991
2283,-9.6492,0,42,0.5834,0.009609
2284,-8.9567,0,36,0.5824,0.009101
2285,-9.4017,0,47,0.581,0.010913
2286,-9.0508,0,39,0.5799,0.010796
2287,-8.8908,0,37,0.5788,0.009925
2288,-8.9117,0,38,0.5777,0.008814
2289,-9.69,0,43,0.5765,0.012874
2290,-9.33,0,43,0.5752,0.011727
2291,-9.69,0,40,0.5741,0.012012
2292,-8.825,0,38,0.573,0.010375
2293,-8.8392,0,40,0.5718,0.009608
2294,-9.4425,0,37,0.5708,0.009813
2295,-8.8717,0,37,0.5697,0.009701
2296,-9.1575,0,42,0.5685,0.009695
2297,-9.79,0,39,0.5674,0.012301
2298,-9.67,0,38,0.5663,0.011118
2299,-9.1383,0,46,0.565,0.009902
2300,-8.8225,0,47,0.5637,0.01091
2301,-9.7117,0,43,0.5625,0.012244
2302,-9.43,0,45,0.5612,0.01338
2303,-9.68,0,43,0.56,0.010812
2304,-8.8975,0,38,0.559,0.009409
2305,-9.77,0,37,0.5579,0.006339
2306,-8.9025,0,40,0.5568,0.007572
2307,-9.78,0,37,0.5558,0.011436
2308,-8.8708,0,39,0.5547,0.009982
2309,-8.9983,0,37,0.5537,0.010994
2310,-9.365,0,38,0.5526,0.008512
2311,-9.74,0,38,0.5516,0.009767
2312,-8.9142,0,38,0.5505,0.009406
2313,-8.9342,0,38,0.5495,0.01099
2314,-9.8,0,37,0.5485,0.011221
2315,-8.8042,0,40,0.5474,0.009785
2316,-8.7358,0,40,0.5463,0.012881
2317,-9.0075,0,39,0.5452,0.012095
2318,-9.1583,0,43,0.544,0.010017
2319,-9.1442,0,40,0.543,0.010439
2320,-9.77,0,38,0.5419,0.008472
2321,-9.1742,0,39,0.5409,0.010106
2322,-9.1008,0,41,0.5398,0.007782
2323,-9.75,0,39,0.5387,0.005918
2324,-9.5158,0,40,0.5376,0.008599
2325,-8.9767,0,36,0.5367,0.010855
2326,-8.8525,0,39,0.5356,0.011433
2327,-9.78,0,37,0.5346,0.008922
2328,-8.8308,0,39,0.5336,0.006464
2329,-9.0058,0,37,0.5326,0.011389
2330,-9.78,0,38,0.5316,0.00734
2331,-9.76,0,38,0.5306,0.009312
2332,-9.6992,0,37,0.5296,0.006852
2333,-8.7433,0,38,0.5286,0.009669
2334,-8.8192,0,45,0.5274,0.011014
2335,-9.6883,0,38,0.5264,0.009608
2336,-7.8633,0,47,0.5252,0.008296
2337,-8.7967,0,42,0.5241,0.007997
2338,-9.6383,0,41,0.523,0.0077
2339,-9.5842,0,46,0.5218,0.007209
2340,-9.005,0,47,0.5206,0.009081
2341,-8.8833,0,36,0.5196,0.008938
2342,-8.7717,0,42,0.5186,0.008284
2343,-8.8892,0,38,0.5176,0.006574
2344,-9.7758,0,38,0.5166,0.007717
2345,-8.4267,0,47,0.5154,0.006556
2346,-8.6,0,42,0.5143,0.008854
2347,-8.9242,0,39,0.5133,0.007928
2348,-8.9158,0,37,0.5123,0.01049
2349,-9.8,0,40,0.5113,0.009714
2350,-9.83,0,36,0.5104,0.008202
2351,-9.4233,0,40,0.5094,0.008874
2352,-8.5358,0,47,0.5082,0.009372
2353,-9.76,0,45,0.507,0.007803
2354,-9.74,0,40,0.506,0.00627
2355,-8.8717,0,37,0.5051,0.007044
2356,-9.3342,0,47,0.5039,0.007493
2357,-9.235,0,42,0.5028,0.007543
2358,-8.7992,0,42,0.5018,0.009219
2359,-8.6942,0,41,0.5008,0.006553
2360,-8.7875,0,40,0.4998,0.008503
2361,-8.33,0,42,0.4987,0.00743
2362,-9.79,0,38,0.4978,0.006155
2363,-9.82,0,36,0.4969,0.006391
2364,-9.79,0,43,0.4958,0.008372
2365,-9.5175,0,45,0.4947,0.010575
2366,-9.6983,0,38,0.4938,0.008307
2367,-9.74,0,38,0.4928,0.008551
2368,-9.17,0,39,0.4919,0.0063
2369,-9.0508,0,42,0.4908,0.005207
2370,-9.0667,0,44,0.4897,0.007944
2371,-9.6475,0,46,0.4886,0.00675
2372,-9.76,0,38,0.4877,0.007295
2373,-8.5342,0,44,0.4866,0.008278
2374,-8.6708,0,44,0.4856,0.006441
2375,-8.8617,0,39,0.4846,0.007234
2376,-8.91,0,41,0.4836,0.006749
2377,-9.3433,0,45,0.4825,0.006437
2378,-8.74,0,46,0.4814,0.007663
2379,-8.9017,0,39,0.4805,0.008739
2380,-9.76,0,39,0.4795,0.009824
2381,-8.8667,0,39,0.4786,0.006642
2382,-9.77,0,41,0.4776,0.005962
